name,alt_name,objectid,id,status,type,trauma,owner,ttl_staff,population,beds,helipad,naics_code,naics_desc
CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,NOT AVAILABLE,63,4894118,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,299,299,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,NOT AVAILABLE,64,5094115,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,309,309,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",NOT AVAILABLE,65,46594117,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,403,403,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
KAISER FND HOSP - SANTA ROSA,NOT AVAILABLE,66,20595403,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,173,173,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
KAISER FND HOSP - REHABILITATION CENTER VALLEJO,NOT AVAILABLE,67,19594590,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,248,248,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
WOODLAND MEMORIAL HOSPITAL,NOT AVAILABLE,68,53195695,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,108,108,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,NOT AVAILABLE,69,1294609,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,75,75,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SAN LEANDRO HOSPITAL,NOT AVAILABLE,70,39794578,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,93,93,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ST. ROSE HOSPITAL,NOT AVAILABLE,71,46694545,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,217,217,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,NOT AVAILABLE,72,45995204,OPEN,PSYCHIATRIC,NOT AVAILABLE,NON-PROFIT,-999,35,35,N,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,NOT AVAILABLE,73,46095204,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,364,364,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,NOT AVAILABLE,74,13291741,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,105,105,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,NOT AVAILABLE,75,14791204,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,334,334,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
KAISER FOUNDATION LOS ANGELES MEDICAL CENTER,NOT AVAILABLE,76,19090027,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,460,460,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
KAISER PERMANENTE PANORAMA CITY,NOT AVAILABLE,77,19391402,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,218,218,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
PROVIDENCE TARZANA MEDICAL CENTER,NOT AVAILABLE,78,36691356,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,249,249,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SHRINERS HOSPITAL FOR CHILDREN - L.A.,NOT AVAILABLE,79,42990020,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,60,60,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,TRI-CITY REGIONAL MEDICAL CENTER,80,50190716,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,107,107,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ADVENTIST HEALTH CLEARLAKE,NOT AVAILABLE,81,45295422,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,32,32,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
VALLEY CHILDREN'S HOSPITAL,CHILDREN'S HOSPITAL CENTRAL CALIFORNIA,82,6193638,OPEN,CHILDREN,NOT AVAILABLE,NON-PROFIT,-999,356,356,Y,622110,"CHILDREN'S HOSPITALS, GENERAL"
EISENHOWER MEDICAL CENTER,NOT AVAILABLE,83,11792270,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,489,489,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
GOOD SAMARITAN HOSPITAL-SAN JOSE,NOT AVAILABLE,84,15295124,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,404,404,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
KAISER FND HOSP - SANTA CLARA,NOT AVAILABLE,85,20495051,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,327,327,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD,NOT AVAILABLE,86,27094304,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,302,302,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
KAISER FND HOSP - REDWOOD CITY,NOT AVAILABLE,87,19494063,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,149,149,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,NOT AVAILABLE,88,18094520,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,245,245,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SUTTER DELTA MEDICAL CENTER,NOT AVAILABLE,89,47794509,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,145,145,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
KAISER FND HOSP - SACRAMENTO,NOT AVAILABLE,90,19995825,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,287,287,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SIERRA NEVADA MEMORIAL HOSPITAL,NOT AVAILABLE,91,43195945,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,104,104,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
LA PALMA INTERCOMMUNITY HOSPITAL,NOT AVAILABLE,92,24690623,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,141,141,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,NOT AVAILABLE,93,38492673,CLOSED,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,73,73,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
FREMONT MEDICAL CENTER,NOT AVAILABLE,94,13795991,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,46,46,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
PIEDMONT MOUNTAINSIDE HOSPITAL,NOT AVAILABLE,95,10230143,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,52,52,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ST MARYS HEALTH CARE SYSTEM,NOT AVAILABLE,96,15530606,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,196,196,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
RIDGEVIEW INSTITUTE,NOT AVAILABLE,97,14130080,OPEN,PSYCHIATRIC,NOT AVAILABLE,NON-PROFIT,-999,216,216,N,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
WESTERLY HOSPITAL,NOT AVAILABLE,98,502891,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,125,125,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ST MARYS HOSPITAL MADISON,NOT AVAILABLE,99,1553715,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,440,440,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
AURORA PSYCHIATRIC HSPTL,NOT AVAILABLE,100,8253213,OPEN,PSYCHIATRIC,NOT AVAILABLE,NON-PROFIT,-999,105,105,N,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
COLUMBIA CENTER,NOT AVAILABLE,101,9753097,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,17,17,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
THEDACARE MEDICAL CENTER BERLIN,NOT AVAILABLE,102,4354923,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,25,25,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
MERCY HOSPITAL ROGERS,NOT AVAILABLE,103,63072758,OPEN,GENERAL ACUTE CARE,LEVEL III,NOT AVAILABLE,-999,208,208,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ST CROIX REG MED CTR,NOT AVAILABLE,104,10454024,OPEN,GENERAL ACUTE CARE,LEVEL IV,NON-PROFIT,-999,25,25,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
WESTFIELDS HOSPITAL,NOT AVAILABLE,105,11854017,OPEN,GENERAL ACUTE CARE,LEVEL IV,NON-PROFIT,-999,25,25,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ST NICHOLAS HOSPITAL,NOT AVAILABLE,106,12453081,OPEN,GENERAL ACUTE CARE,LEVEL IV,NON-PROFIT,-999,185,185,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
VERNON MEM HSPTL,NOT AVAILABLE,107,13154665,OPEN,GENERAL ACUTE CARE,LEVEL IV,NON-PROFIT,-999,25,25,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
PIH HOSPITAL - DOWNEY,DOWNEY REGIONAL MEDICAL CENTER,108,72390241,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,199,199,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
PROVIDENCE LITTLE COMPANY OF MARY TRANSITIONAL CARE CENTER,NOT AVAILABLE,109,72790503,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,115,115,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,NOT AVAILABLE,110,58592354,OPEN,CHILDREN,NOT AVAILABLE,NON-PROFIT,-999,343,343,Y,622110,"CHILDREN'S HOSPITALS, GENERAL"
ASCENSION NE WISCONSIN MERCY CAMPUS,NOT AVAILABLE,111,15254904,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,157,157,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
MEDSTAR-GEORGETOWN UNIVERSITY MEDICAL CENTER,NOT AVAILABLE,112,75420007,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,GOVERNMENT - STATE,-999,609,609,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ADVENT HEALTH DADE CITY,NOT AVAILABLE,113,31233525,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,120,120,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
