objectid,id,telephone,website
197,2704901,(207) 872-1000,https://www.mainegeneral.org/pages/home.aspx
198,2504538,(207) 633-2121,http://www.lincolncountyhealthcare.org
199,4648624,NOT AVAILABLE,http://www.midmichigan.org
200,7349868,NOT AVAILABLE,http://www.hnjh.org
201,1549862,NOT AVAILABLE,http://www.munisingmemorial.org
202,10902167,(617) 469-0300,http://www.bournewood.com/
203,5848843,NOT AVAILABLE,http://www.stjoeslivingston.org/livingston
204,1649242,NOT AVAILABLE,http://www.hchc.com
205,10048071,NOT AVAILABLE,www.dmcsurgeryhospital.org
206,3049098,NOT AVAILABLE,http://www.lakelandhealth.org/watervliet
207,5648858,NOT AVAILABLE,http://www.cmch.org
208,7949431,NOT AVAILABLE,http://www.spectrumhealth.org/landing_custom.cfm?id=5419&fr=true
209,14049079,NOT AVAILABLE,http://www.bronsonhealth.com/lakeview
210,13248427,NOT AVAILABLE,http://www.deckervillehosp.org
211,14948202,NOT AVAILABLE,http://www.henryfordhealth.org
212,4256007,(507) 377-5913,http://mayoclinichealthsystem.org/locations/albert-lea
213,14155009,(507) 263-6000,http://mayoclinichealthsystem.org/locations/cannon-falls
214,5056031,(507) 238-8500,http://mayoclinichealthsystem.org/locations/fairmont
215,10856087,(507) 723-6201,https://mayoclinichealthsystem.org/locations/springfield
216,8665201,(573) 814-6000,http://www.columbiamo.va.gov/
217,5158554,(701) 667-2000,http://www.vhcentraldakotas.com/
218,2458533,(701) 584-2792,http://jacobsonhospital.org/
219,1446011,(765) 298-4242,http://www.communityanderson.com
220,9446601,(574) 647-1000,http://www.qualityoflife.org
221,389128,(702) 562-2021,http://www.lifecare-hospitals.com
222,489119,(702) 369-7600,http://www.desertspringshospital.com
223,12119124,(215) 537-7412,http://www.cancercenter.com/eastern/
224,13619107,(215) 955-4164,http://www.jeffersonhospital.org
225,20819104,(215) 662-8000,http://www.pennmedicine.org/pmc/
226,21419130,(215) 787-9000,http://www.nphs.com/stjo_home.html
227,25019104,(215) 823-5800,http://www.philadelphia.va.gov/
228,6017822,(570) 271-6211,http://www.geisinger.org
229,182330115,(770) 224-1000,https://www.northside.com/cherokee
230,185631620,(229) 896-8077,https://mysouthwell.com/cook-medical-plaza/
231,5759501,(406) 265-2211,http://www.nmhcare.org
232,6929425,(843) 792-4000,http://www.muschealth.com
233,189830346,(707) 871-3750,https://veritascollaborative.com/?utm_campaign=website-link&utm_medium=organic&utm_source=local-listing
234,522835,(540) 743-4560,http://www.valleyhealthlink.com/page
235,14244266,(330) 297-2300,http://www.uhhospitals.org/portage
236,6878746,(512) 324-0101,http://www.dellchildrens.net
237,19676104,(682) 885-4340,http://www.cookchildrens.org
238,898356,(360) 496-5112,www.mortongeneral.org
239,194246032,(317) 795-2000,https://indianaspinehospital.com/
240,13753045,(262) 785-2000,http://www.wfhealthcare.org
241,6753132,(414) 325-4700,http://www.mywheaton.org/
242,8153210,(414) 447-2000,http://www.mywheaton.org/stjoseph
243,6354476,(715) 393-3000,http://www.ministryhealth.org
244,7853215,(414) 647-5000,http://www.mywheaton.org
245,9254501,(715) 361-2000,http://www.ministryhealth.org
246,17545409,(937) 208-8000,http://www.miamivalleyhospital.org
247,10354481,(715) 346-5000,http://ministryhealth.org/smh/home.nws
248,15454495,(715) 423-6060,http://www.riverviewhospital.org
249,5754401,(715) 847-2121,http://www.aspirus.org
250,13253121,(262) 741-2000,http://www.aurorahealthcare.org
251,13653027,(262) 673-2300,http://www.aurorahealthcare.org
252,5153142,(262) 948-5600,http://www.aurorahealthcare.org
253,6154241,(920) 794-5000,http://www.aurorahealthcare.org
254,188346176,(317) 392-3211,mymhp.org
255,35579408,(806) 725-7960,http://www.covenanthealth.org/about-us/facilities/childrens-hospital.aspx
256,183446992,(260) 563-3131,parkview.com
257,187746307,(574) 277-2630,https://www.neuropsychiatrichospitals.net/find-a-location/
258,194147586,(812) 547-7011,https://www.pchospital.org/
259,14044481,(330) 841-4000,http://www.hmpartners.org
260,2944482,(330) 841-9011,http://www.valleycarehealth.net
261,3397031,NOT AVAILABLE,http://oregon.providence.org/patients/facilities/providence-hood-river-memorial-hospital/pages/default.aspx
262,9360901,(815) 933-1671,http://www.riversidehealthcare.org
263,497845,NOT AVAILABLE,www.bluemountainhospital.org
264,2912601,(845) 454-8500,http://www.healthquest.org/poughkeepsie/vassar-brothers-medical-center.aspx
265,3214215,(716) 898-3000,http://www.ecmc.edu
266,5514607,(585) 275-8387,http://www.urmc.rochester.edu
267,6411030,(516) 562-0100,http://www.northshorelij.com/hospitals/location/north-shore-university-hospital
268,9344221,(330) 436-0910,http://www.edwinshaw.com
269,6511554,(516) 572-0123,http://www.nuhealth.net
270,7011510,(516) 632-3000,http://www.southnassau.org
271,8313210,(315) 464-3284,http://www.upstate.edu/
272,8712550,(845) 561-4400,http://www.stlukescornwallhospital.org
273,3303038,(603) 421-2100,http://www.parklandmedicalcenter.com
274,9310924,(845) 333-1000,http://www.ormc.org/default.aspx
275,9912180,(518) 271-3300,http://www.nehealth.com
276,10713676,(315) 265-3300,http://www.cphospital.org
277,15298250,(360) 378-2141,https://www.peacehealth.org/peace-island-medical-center
278,10110960,(845) 348-2000,http://www.nyackhospital.org
279,10912866,(518) 587-3222,http://saratogahospital.org/
280,1060035,(847) 432-8000,http://www.northshore.org/locations/highland-park-hospital/
281,9960048,(847) 990-5200,http://www.advocatehealth.com/condell/
282,12860010,(847) 381-9600,http://www.advocatehealth.com/gshp/
283,1961401,(309) 345-4555,http://www.cottagehospital.com
284,3361401,(309) 344-3161,http://www.osfstmary.org
285,4960099,(847) 872-4561,http://www.cancercenter.com
286,1021205,(443) 923-9305,http://www.kennedykrieger.org
287,2321202,(410) 332-9237,http://www.mdmercy.com
288,3721215,(410) 601-5131,http://www.lifebridgehealth.org/sinai/sinai1.aspx
289,4121201,(410) 328-8667,http://www.umms.org/hospitals/ummc.htm
290,11614843,(607) 324-8000,http://www.stjamesmercy.org
291,4821224,(410) 550-0123,http://www.hopkinsbayview.org
292,2603743,(603) 542-7771,http://www.vrh.org
293,1403841,(603) 329-5311,http://www.hampsteadhospital.com
294,1303867,(603) 332-5211,http://www.frisbiehospital.com
295,1003047,(603) 547-3311,http://www.cmf.org
296,2303060,(603) 577-2000,http://www.snhmc.org
297,2403061,(603) 882-3000,http://www.stjosephhospital.com
298,3003103,(603) 669-5300,http://www.elliothospital.org
299,103301,(603) 227-7000,http://www.concordhospital.org
300,1203235,(603) 934-2060,http://www.lrgh.org
301,11811968,(516) 726-8200,http://www.southamptonhospital.org
302,11911901,(631) 477-1000,http://www.elih.org
303,12211743,(516) 351-2000,https://www.northwell.edu/find-care/locations/huntington-hospital
304,12311706,(631) 968-3000,https://www.northwell.edu/find-care/locations/southside-hospital
305,9140504,(859) 278-3436,http://www.sjhlex.org/system-locations-saint-joseph-hospital-lexington-ky
306,9540502,(859) 266-2101,http://www.shrinershospitalsforchildren.org/hospitals/locations/lexington.aspx
307,12810901,(631) 376-3000,http://goodsamaritan.chsli.org/
308,13112401,(845) 334-2750,http://www.hahv.org/broadway-campus/
309,13212428,(845) 647-6400,http://www.ellenvilleregional.org
310,13614513,(315) 332-2022,http://www.rochestergeneral.org/about-us/newark-wayne-community-hospital/
311,14110522,(914) 693-0700,http://www.riversidehealth.org
312,14510591,(914) 366-3000,http://www.phelpshospital.org
313,11442754,(270) 259-9400,http://www.tlrmc.com
314,7341101,(606) 833-3333,http://www.olbh.com
315,14810595,(914) 592-7555,http://www.blythedale.org
316,2962650,(217) 245-9551,http://www.passavanthospital.com
317,3421740,(301) 733-0330,http://www.brooklane.org
318,2640444,(859) 792-6844,NOT AVAILABLE
319,15110532,(914) 493-7018,http://www.westchestermedicalcenter.com/
320,15310466,(718) 920-4321,http://www.montefiore.org
321,2440601,(502) 875-5240,http://www.frankfortregional.com
322,15610467,(718) 519-5000,http://www.nyc.gov/html/hhc/ncbh/html/home/home.shtml
323,3521742,(240) 313-9500,http://www.meritushealth.com/for-hospital-patients-and-visitors/meritus-medical-center.aspx
324,16111212,(718) 240-5000,http://www.brookdalehospital.org
325,16211201,(718) 250-8000,http://www.tbh.org
326,16310461,(718) 430-7300,http://www.montefiore.org/westchestersquare
327,16411203,(718) 245-2306,http://www.nyc.gov/html/hhc/kchc/html/home/home.shtml
328,16611235,(718) 616-3000,http://www.nyc.gov/html/hhc/html/facilities/coneyisland.shtml
329,16911209,(718) 630-7300,http://www.lutheranhealthcare.org/main/lutheranmedicalcenter.aspx
330,15210036,(212) 430-5235,http://www.nyc.gov/html/hhc/jacobi/home.html
331,17011215,(718) 780-3000,http://www.nym.org
332,17910003,(212) 598-6000,http://www.med.nyu.edu/hjd/
333,18610032,(212) 305-5437,http://www.nyp.org/morganstanley
334,18810019,(212) 256-3800,http://www.stlukeshospitalnyc.org/addiction.aspx
335,19611373,(718) 334-4000,http://www.nyc.gov/html/hhc/ehc/html/home/home.shtml
336,19711414,(718) 206-6000,http://jamaicahospital.org/
337,14860942,(217) 283-5531,http://www.carle.org
338,4761832,(217) 443-5000,http://www.presencehealth.org/presence-united-samaritans-medical-center-danville
339,10942101,(270) 745-1000,http://www.themedicalcenter.org
340,20311355,(718) 670-2000,http://www.nyhq.org/
341,185067037,(316) 425-2400,https://rockregionalhospitalderby.com/
342,114511542,(516) 674-7588,https://www.northwell.edu/find-care/locations/glen-cove-hospital
343,2040484,(606) 365-2187,http://www.fortloganhospital.org
344,4942078,(270) 988-2299,http://www.lhhs.org
345,115310802,(914) 365-3700,http://www.montefiorehs.org/landing.cfm?id=16
346,115411234,(718) 951-3000,http://www.bethisraelny.org/brooklyn/
347,115710605,(888) 694-5700,http://www.nyp.org/locations/newyork-presbyterian/westchester-division
348,116710037,(212) 939-1000,http://www.nychealthandhospitals.org/harlem/html/home/home.shtml
349,116810035,(212) 318-8000,http://www.nychealthandhospitals.org/carter/html/home/home.shtml
350,116910457,(718) 960-9000,http://www.sbhny.org/st-barnabas-hospital
351,117114810,(607) 776-8500,http://www.arnothealth.org/ira-davenport-memorial-hospital
352,117412010,(518) 842-3100,https://www.smha.org/
353,117712180,(518) 271-3655,http://www.burdettcarecenter.org/
354,5060450,(815) 942-2932,http://www.morrishospital.org
355,10961104,(815) 968-4400,http://www.swedishamerican.org
356,11361103,(815) 968-6861,http://www.rhsnet.org
357,118212901,(518) 561-2000,https://www.cvph.org/
358,118510466,(718) 920-9000,http://www.montefiore.org/
359,1920910,(301) 754-7000,http://www.holycrosshealth.org
360,10560451,(815) 740-1100,http://www.silvercross.org
361,13360440,(630) 226-8100,http://www.keepingyouwell.com/abh/
362,2520744,(301) 292-7000,http://www.fortwashingtonmc.org/
363,118710025,(212) 523-4295,http://www.stlukeshospitalnyc.org/index.aspx
364,118810032,(212) 305-2500,http://www.nyp.org/locations/newyork-presbyterian-columbia-university-medical-center
365,118910021,(212) 746-5454,http://www.nyp.org/
366,119511201,NOT AVAILABLE,http://nyulangone.org/locations/nyu-langone-cobble-hill
367,119614420,(585) 785-1000,https://www.urmc.rochester.edu/strong-west.aspx
368,120114222,(716) 878-7000,http://www.kaleidahealth.org/childrens/
369,120511501,(516) 663-0333,http://www.winthrop.org/
370,120614701,(716) 487-0141,http://www.wcahospital.org/
371,121310703,(914) 964-7300,http://www.riversidehealth.org/facilities/parkcare.aspx
372,10314424,NOT AVAILABLE,http://www.canandaigua.va.gov/
373,25710536,(914) 763-8151,http://www.fourwindshospital.com/
374,25812866,(518) 584-3600,http://www.fourwindshospital.com/
375,5842420,(270) 827-7700,http://www.methodisthospital.net
376,13062864,(618) 244-5500,http://www.crossroadscommunityhospital.com
377,1360504,(630) 978-6200,http://www.rushcopley.com/
378,10460134,(630) 208-3000,http://www.delnor.com
379,8460506,(630) 859-2222,http://www.presencehealth.org/presence-mercy-medical-center-aurora
380,440383,(859) 873-3111,http://www.bluegrasscommunityhospital.com
381,10610468,NOT AVAILABLE,http://www.bronx.va.gov/
382,8476825,(325) 597-2901,https://www.heartoftexashealthcare.org/
383,17677957,(361) 782-7800,http://www.jchd.org/getpage.php?name=index
384,19176936,(325) 853-2507,http://www.scmc.us
385,10542718,(270) 465-3561,http://www.trhosp.org
386,39179346,(806) 266-5565,NOT AVAILABLE
387,4521502,(240) 964-2196,http://www.wmhs.com
388,4621401,(443) 481-1307,http://www.aahs.org
389,1261856,(217) 762-2115,http://www.kirbyhealth.org
390,3561603,(309) 655-2000,http://www.osfsaintfrancis.org
391,14762363,(217) 285-2113,http://www.illinihospital.org
392,16674447,(918) 756-9211,http://creekhealth.org/index.php/component/content/category/81-clinics
393,962301,(217) 223-5811,http://www.blessinghospital.org
394,14573102,(405) 236-3131,http://www.valir.com
395,10261603,(309) 672-5522,http://www.mymethodist.net
396,1760611,(312) 908-6005,http://www.ric.org
397,1860130,(708) 771-7000,http://www.riveredgehospital.com
398,2560076,(847) 677-9600,http://www.northshore.org
399,3260304,(708) 383-9300,http://www.roph.org
400,3460525,(708) 352-1200,http://www.keepingyouwell.com
401,460160,(708) 681-3200,http://www.gottliebhospital.org
402,57375494,(903) 342-5227,http://www.tmfhs.org
403,57677995,(361) 293-2321,http://www.yoakumhospital.org
404,4160644,(773) 626-4300,http://www.lorettohospital.org
405,4360637,(773) 702-1000,http://www.uchospitals.edu
406,137479007,(806) 467-5700,http://www.goldenplains.org
407,5560613,(312) 525-6780,http://www.thorek.org
408,6260612,(312) 864-6000,http://www.cookcountyhealth.net
409,7660616,(312) 567-2000,http://www.mercy-chicago.org
410,8760805,(708) 422-6200,http://www.lcmh.org
411,9060657,(773) 975-1600,http://www.advocatehealth.com/masonic
412,9760609,(773) 271-9040,http://www.bethanymethodist.org
413,10160453,(708) 684-8000,http://www.advocatehealth.com/christ
414,10760068,(847) 723-2210,http://www.advocatehealth.com/luth/
415,11860005,(847) 618-1000,http://www.nch.org
416,11960007,(847) 437-5500,http://www.alexian.org
417,12360611,(312) 926-2000,http://www.nmh.org
418,12760169,(847) 843-2000,http://www.stalexius.org
419,13160615,(312) 572-2000,http://www.ccbhs.org/pages/providenthospitalofcookcounty.htm
420,8742642,(270) 866-4141,http://www.russellcohospital.org
421,4125801,(304) 256-4100,http://www.raleighgeneral.com
422,8640456,(606) 256-2195,http://www.rockcastleregional.org
423,5821921,(410) 398-4000,http://www.uhcc.com
424,140207,(502) 897-8100,https://www.baptisthealth.com/louisville/pages/default.aspx
425,4040202,(502) 587-4011,http://www.kentuckyonehealth.org/body.cfm?id=3299&fr=true
426,4440204,(502) 587-7001,http://www.kindredlouisville.com/
427,7540205,(502) 451-3330,http://www.kentuckyonehealth.org/body.cfm?id=3289&fr=true
428,11740202,(502) 562-3000,http://www.ulh.org
429,7941240,(606) 789-3511,http://www.pbhrmc.com/locations/paul-b-hall-regional-medical-center
430,825438,(304) 728-1600,http://www.wvuniversityhealthcare.com/default.aspx
431,3625901,(304) 469-8600,http://www.plateaumedicalcenter.com
432,3226147,(304) 354-9244,http://www.mhhcc.com
433,1825701,(304) 526-1234,http://www.st-marys.org
434,4024740,(304) 487-7260,http://www.pchonline.org
435,3725550,(304) 675-4340,http://www.pvalley.org
436,1425130,(304) 369-1230,http://www.bmh.org
437,5824924,(304) 799-7400,http://www.pmhwv.org/
