objectid,id,source,sourcedate,val_method,val_date
16,23792621,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
17,24392683,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
18,22093277,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
19,1931537,http://167.193.144.247/,11/24/2012 0:00,IMAGERY/OTHER,2/10/2014 0:00
20,5870563,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,8/16/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
21,13177954,https://hhs.texas.gov/doing-business-hhs/provider-portals/health-care-facilities-regulation,9/3/2019 0:00,IMAGERY/OTHER,5/8/2020 0:00
22,4671360,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,8/16/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
23,15671222,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,8/16/2019 0:00,IMAGERY/OTHER,10/8/2013 0:00
24,16971241,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,8/16/2019 0:00,IMAGERY/OTHER,12/15/2017 0:00
25,15371373,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,8/16/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
26,5371418,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,8/16/2019 0:00,IMAGERY/OTHER,2/11/2014 0:00
27,22830662,http://167.193.144.247/,11/24/2012 0:00,IMAGERY/OTHER,2/10/2014 0:00
28,70990806,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,1/13/2015 0:00
29,71794577,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,1/14/2015 0:00
30,72590723,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,1/14/2015 0:00
31,73790650,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,1/16/2015 0:00
32,196162274,https://data.illinois.gov/dataset/410idph_hospital_directory,9/19/2019 0:00,IMAGERY/OTHER,5/7/2020 0:00
33,85531419,http://www.gamap2care.info/,8/9/2019 0:00,IMAGERY/OTHER,3/5/2015 0:00
34,86630165,http://www.gamap2care.info/,8/9/2019 0:00,IMAGERY/OTHER,3/5/2015 0:00
35,87130286,http://www.gamap2care.info/,8/9/2019 0:00,IMAGERY/OTHER,3/5/2015 0:00
36,87531719,http://www.gamap2care.info/,8/9/2019 0:00,IMAGERY/OTHER,3/9/2015 0:00
37,87931830,http://www.gamap2care.info/,8/9/2019 0:00,IMAGERY/OTHER,3/9/2015 0:00
38,90030265,http://www.gamap2care.info/,8/9/2019 0:00,IMAGERY/OTHER,3/9/2015 0:00
39,196500984,http://www.salud.gov.pr/servicios-al-ciudadano/pages/directorio-de-hospitales-publicos-y-privados.aspx,8/9/2019 0:00,IMAGERY/OTHER,5/7/2020 0:00
40,2054311,https://www.dhs.wisconsin.gov/guide/hospital.htm,8/13/2019 0:00,IMAGERY/OTHER,5/5/2020 0:00
41,151253226,https://www.dhs.wisconsin.gov/guide/hospital.htm,8/13/2019 0:00,IMAGERY/OTHER,3/27/2015 0:00
42,196600956,http://www.salud.gov.pr/servicios-al-ciudadano/pages/directorio-de-hospitales-publicos-y-privados.aspx,8/9/2019 0:00,IMAGERY/OTHER,5/7/2020 0:00
43,159171301,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,8/16/2019 0:00,IMAGERY/OTHER,5/30/2015 0:00
44,163570394,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,8/16/2019 0:00,IMAGERY/OTHER,5/30/2015 0:00
45,164970748,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,8/16/2019 0:00,IMAGERY/OTHER,2/25/2016 0:00
46,160970056,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,8/16/2019 0:00,IMAGERY/OTHER,5/29/2015 0:00
48,152354971,https://www.dhs.wisconsin.gov/guide/hospital.htm,8/13/2019 0:00,IMAGERY/OTHER,3/27/2015 0:00
49,13402908,https://www.va.gov/directory/guide/allstate.asp,9/26/2019 0:00,IMAGERY/OTHER,5/26/2015 0:00
50,15954660,https://www.va.gov/directory/guide/allstate.asp,9/26/2019 0:00,IMAGERY/OTHER,5/29/2015 0:00
51,5854452,https://www.dhs.wisconsin.gov/guide/hospital.htm,8/13/2019 0:00,IMAGERY,5/5/2020 0:00
52,58796001,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/11/2016 0:00
53,59093436,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/17/2016 0:00
54,23831825,http://www.gamap2care.info/locator.html#,3/8/2016 0:00,IMAGERY/OTHER,3/8/2016 0:00
55,21891761,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY,2/10/2014 0:00
56,25692354,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY,2/10/2014 0:00
57,44792404,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY,2/10/2014 0:00
58,20092120,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
59,40992037,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY,2/10/2014 0:00
60,41092024,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY,2/10/2014 0:00
61,42292123,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
62,51092103,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY,2/10/2014 0:00
63,4894118,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
64,5094115,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
65,46594117,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
66,20595403,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY,2/10/2014 0:00
67,19594590,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
68,53195695,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
69,1294609,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
70,39794578,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
71,46694545,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY,2/10/2014 0:00
72,45995204,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
73,46095204,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY,2/10/2014 0:00
74,13291741,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
75,14791204,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
76,19090027,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
77,19391402,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
78,36691356,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY,2/10/2014 0:00
79,42990020,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY,2/10/2014 0:00
80,50190716,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
81,45295422,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
82,6193638,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
83,11792270,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
84,15295124,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
85,20495051,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY,2/10/2014 0:00
86,27094304,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY,3/12/2014 0:00
87,19494063,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
88,18094520,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
89,47794509,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY,2/10/2014 0:00
90,19995825,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY,2/10/2014 0:00
91,43195945,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY,2/10/2014 0:00
92,24690623,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY,2/10/2014 0:00
93,38492673,http://www.oshpd.ca.gov/hid/facility-listing.html,2/4/2016 0:00,IMAGERY,2/10/2014 0:00
94,13795991,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
95,10230143,http://www.gamap2care.info/,8/9/2019 0:00,IMAGERY,2/10/2014 0:00
96,15530606,http://www.gamap2care.info/,8/9/2019 0:00,IMAGERY,2/10/2014 0:00
97,14130080,http://www.gamap2care.info/,8/9/2019 0:00,IMAGERY,2/10/2014 0:00
98,502891,http://www.health.ri.gov/licenses/detail.php?id=207,8/10/2019 0:00,IMAGERY,3/12/2014 0:00
99,1553715,https://www.dhs.wisconsin.gov/guide/hospital.htm,8/13/2019 0:00,IMAGERY,2/10/2014 0:00
100,8253213,https://www.dhs.wisconsin.gov/guide/hospital.htm,8/13/2019 0:00,IMAGERY,5/5/2020 0:00
101,9753097,https://www.dhs.wisconsin.gov/guide/hospital.htm,8/13/2019 0:00,IMAGERY,5/5/2020 0:00
102,4354923,https://www.dhs.wisconsin.gov/guide/hospital.htm,8/13/2019 0:00,IMAGERY,2/10/2014 0:00
103,63072758,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,12/2/2014 0:00
104,10454024,https://www.dhs.wisconsin.gov/guide/hospital.htm,8/13/2019 0:00,IMAGERY,2/10/2014 0:00
105,11854017,https://www.dhs.wisconsin.gov/guide/hospital.htm,8/13/2019 0:00,IMAGERY,3/12/2014 0:00
106,12453081,https://www.dhs.wisconsin.gov/guide/hospital.htm,8/13/2019 0:00,IMAGERY,3/12/2014 0:00
107,13154665,https://www.dhs.wisconsin.gov/guide/hospital.htm,8/13/2019 0:00,IMAGERY,2/10/2014 0:00
108,72390241,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,1/14/2015 0:00
109,72790503,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,1/14/2015 0:00
110,58592354,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/11/2016 0:00
111,15254904,https://www.dhs.wisconsin.gov/guide/hospital.htm,8/13/2019 0:00,IMAGERY,5/5/2020 0:00
112,75420007,http://doh.dc.gov/node/173192,8/14/2019 0:00,IMAGERY/OTHER,1/20/2015 0:00
113,31233525,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,8/15/2019 0:00,IMAGERY,11/6/2013 0:00
114,7233484,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,8/15/2019 0:00,IMAGERY,2/10/2014 0:00
115,36034758,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,8/15/2019 0:00,IMAGERY/OTHER,4/11/2016 0:00
116,9802703,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY/OTHER,7/29/2016 0:00
117,9702146,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY,7/29/2016 0:00
118,36232068,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,8/15/2019 0:00,IMAGERY/OTHER,4/12/2016 0:00
119,36334471,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,8/15/2019 0:00,IMAGERY,4/12/2016 0:00
120,3906250,https://www.elicense.ct.gov/lookup/generateroster.aspx,8/13/2019 0:00,IMAGERY/OTHER,4/4/2016 0:00
121,36634997,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,8/15/2019 0:00,IMAGERY/OTHER,4/13/2016 0:00
122,10502114,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY,8/1/2016 0:00
123,10602129,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY,8/1/2016 0:00
124,11402720,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY/OTHER,8/1/2016 0:00
125,12101904,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY,8/1/2016 0:00
126,12001056,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY/OTHER,8/1/2016 0:00
127,12142728,https://chfs.ky.gov/agencies/os/oig/dhc/documents/directories/hospital_directory.pdf,8/11/2019 0:00,IMAGERY,2/10/2014 0:00
128,13050144,https://dia-hfd.iowa.gov/dia_hfd/ctlentitysearch.do,8/9/2019 0:00,IMAGERY,4/15/2016 0:00
129,4466032,http://www.kdheks.gov/bhfr/fac_list/,8/16/2019 0:00,IMAGERY,4/16/2020 0:00
130,7567860,http://www.kdheks.gov/bhfr/fac_list/,8/16/2019 0:00,IMAGERY,4/16/2020 0:00
131,7767467,http://www.kdheks.gov/bhfr/fac_list/,8/16/2019 0:00,IMAGERY,4/17/2020 0:00
132,3502492,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
133,12402745,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY,8/1/2016 0:00
134,4002062,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
135,12602537,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY/OTHER,8/2/2016 0:00
136,6702143,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY/OTHER,12/16/2013 0:00
137,12701104,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY,8/2/2016 0:00
138,372903,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
139,7472901,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY,9/17/2013 0:00
140,9700000,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
141,10172143,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
142,10272834,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
143,2271923,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
144,872616,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,3/12/2014 0:00
145,1072632,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,3/12/2014 0:00
146,2871653,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,3/12/2014 0:00
147,671671,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY,2/10/2014 0:00
148,8872455,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
149,2571742,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,3/12/2014 0:00
150,4100000,http://www.arkansassiteselection.com/aedc/gis-data-download.aspx,6/27/2012 0:00,IMAGERY/OTHER,2/10/2014 0:00
151,6171701,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
152,572601,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,3/12/2014 0:00
153,1672560,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
154,2372454,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY,2/10/2014 0:00
155,1372543,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY,2/10/2014 0:00
156,2472110,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
157,3072205,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
158,5000000,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
159,6972113,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
160,1971901,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY,2/10/2014 0:00
161,4671901,http://www.arkansassiteselection.com/aedc/gis-data-download.aspx,6/27/2012 0:00,IMAGERY,2/10/2014 0:00
162,5971913,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
163,6600000,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
164,3971603,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY,9/18/2013 0:00
165,6871603,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
166,2772703,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,9/18/2013 0:00
167,331404,http://www.gamap2care.info/,8/9/2019 0:00,IMAGERY,2/10/2014 0:00
168,9372703,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
169,9672762,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY,2/10/2014 0:00
170,9454915,https://www.dhs.wisconsin.gov/guide/hospital.htm,8/13/2019 0:00,IMAGERY,5/5/2020 0:00
171,3271953,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
172,4972927,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
173,5172855,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
174,62572396,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,12/2/2014 0:00
175,64072205,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,12/2/2014 0:00
176,8053211,https://www.dhs.wisconsin.gov/guide/hospital.htm,8/13/2019 0:00,IMAGERY,5/5/2020 0:00
177,14385622,http://www.azdhs.gov/als/databases/,8/11/2019 0:00,IMAGERY,7/13/2016 0:00
178,62472160,http://www.healthy.arkansas.gov/programsservices/hslicensingregulation/healthfacilityservices/pages/providerlists.aspx,8/8/2019 0:00,IMAGERY/OTHER,11/18/2014 0:00
179,1042539,https://chfs.ky.gov/agencies/os/oig/dhc/documents/directories/hospital_directory.pdf,8/11/2019 0:00,IMAGERY,2/10/2014 0:00
180,5240336,https://chfs.ky.gov/agencies/os/oig/dhc/documents/directories/hospital_directory.pdf,8/11/2019 0:00,IMAGERY,2/10/2014 0:00
181,3641653,https://chfs.ky.gov/agencies/os/oig/dhc/documents/directories/hospital_directory.pdf,8/11/2019 0:00,IMAGERY,2/10/2014 0:00
182,7140207,https://chfs.ky.gov/agencies/os/oig/dhc/documents/directories/hospital_directory.pdf,8/11/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
183,9440215,https://chfs.ky.gov/agencies/os/oig/dhc/documents/directories/hospital_directory.pdf,8/11/2019 0:00,IMAGERY,2/10/2014 0:00
184,10640207,https://chfs.ky.gov/agencies/os/oig/dhc/documents/directories/hospital_directory.pdf,8/11/2019 0:00,IMAGERY,2/10/2014 0:00
185,240031,https://chfs.ky.gov/agencies/os/oig/dhc/documents/directories/hospital_directory.pdf,8/11/2019 0:00,IMAGERY,2/10/2014 0:00
186,9401605,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY,7/29/2016 0:00
187,8401730,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY/OTHER,12/16/2013 0:00
188,9501913,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY,7/29/2016 0:00
189,1202215,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
190,9602130,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY,7/29/2016 0:00
191,8201930,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
192,11801542,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY/OTHER,8/1/2016 0:00
193,13925027,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,8/16/2019 0:00,IMAGERY/OTHER,8/2/2016 0:00
194,4204730,https://gateway.maine.gov/dhhs-apps/aspen/facility_list.asp,8/13/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
195,2804901,https://gateway.maine.gov/dhhs-apps/aspen/facility_list.asp,8/13/2019 0:00,IMAGERY,2/10/2014 0:00
196,3004330,http://megis.maine.gov/catalog,10/25/2012 0:00,IMAGERY,2/10/2014 0:00
197,2704901,http://megis.maine.gov/catalog,10/25/2012 0:00,IMAGERY/OTHER,2/10/2014 0:00
198,2504538,http://megis.maine.gov/catalog,10/25/2012 0:00,IMAGERY/OTHER,2/10/2014 0:00
